ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
SVCD,Caicara del Orinoco Airport,"-66.16280364990234, 7.625510215759277",141,VE,,CXA
SVCL,Calabozo Airport,"-67.4170913696289, 8.92465591430664",328,VE,Guarico,CLZ
SVCN,Canaima Airport,"-62.85443115234375, 6.231988906860352",1450,VE,Canaima,CAJ
SVCO,Carora Airport,"-70.06521606445312, 10.175602912902832",1437,VE,Carora,VCR
SVCP,General Francisco Bermúdez Airport,"-63.261680603027344, 10.660014152526855",33,VE,Carúpano,CUP
SVCR,José Leonardo Chirinos Airport,"-69.68090057373047, 11.41494369506836",52,VE,Coro,CZE
SVCS,Oscar Machado Zuluaga Airport,"-66.81610870361328, 10.286110877990723",2145,VE,Caracas,
SVCU,Cumaná (Antonio José de Sucre) Airport,"-64.1304702758789, 10.450332641601562",14,VE,,CUM
SVED,El Dorado Airport,"-61.58333206176758, 6.733333110809326",318,VE,Bolivar,EOR
SVEZ,Elorza Airport,"-69.53333282470703, 7.0833330154418945",295,VE,,EOZ
SVFM,Francisco de Miranda Airport,"-66.8435134888, 10.485033035299999",2739,VE,La Carlota,
SVGD,Guasdalito Airport,"-70.80000305175781, 7.233333110809326",426,VE,,GDO
SVGI,Guiria Airport,"-62.3126678467, 10.574077606200001",42,VE,,GUI
SVGU,Guanare Airport,"-69.7551498413086, 9.026944160461426",606,VE,Guanare,GUQ
SVJC,Josefa Camejo International Airport,"-70.15149688720703, 11.78077507019043",75,VE,Paraguaná,LSP
SVJM,San Juan de Los Morros Airport,"-67.379638671875, 9.906952857971191",1404,VE,San Juan de los Morros,
SVLF,La Fria Airport,"-72.27102661132812, 8.239167213439941",305,VE,,LFR
SVMC,La Chinita International Airport,"-71.7278594971, 10.5582084656",239,VE,Maracaibo,MAR
SVMD,Alberto Carnevalli Airport,"-71.16104125976562, 8.582077980041504",5007,VE,Mérida,MRD
SVMG,Del Caribe Santiago Mariño International Airport,"-63.96659851074219, 10.912603378295898",74,VE,Isla Margarita,PMV
SVMI,Simón Bolívar International Airport,"-66.991222, 10.601194",234,VE,Caracas,CCS
SVMP,Metropolitano Airport,"-66.78782653808594, 10.133169174194336",574,VE,,
SVMT,Maturín Airport,"-63.14739990234375, 9.75452995300293",224,VE,,MUN
SVPA,Cacique Aramare Airport,"-67.606101989746, 5.6199898719788",245,VE,Puerto Ayacucho,PYH
SVPC,General Bartolome Salom International Airport,"-68.072998046875, 10.480500221252441",32,VE,,PBL
SVPM,Paramillo Airport,"-72.2029037475586, 7.8013200759887695",3314,VE,,SCI
SVPR,General Manuel Carlos Piar International Airport,"-62.760398864746094, 8.288530349731445",472,VE,Puerto Ordaz-Ciudad Guayana,PZO
SVPT,Palmarito Airport,"-70.18329620361328, 7.566669940948486",347,VE,Palmarito,PTM
SVSA,San Antonio Del Tachira Airport,"-72.439697265625, 7.840829849243164",1312,VE,,SVZ
SVSE,Santa Elena de Uairen Airport,"-61.150001525878906, 4.554999828338623",2938,VE,,SNV
SVSO,Mayor Buenaventura Vivas International Airport,"-72.03510284423828, 7.565380096435547",1083,VE,Santo Domingo,STD
SVSP,Sub Teniente Nestor Arias Airport,"-68.75520324707031, 10.27869987487793",761,VE,San Felipe,SNF
SVSR,San Fernando De Apure Airport,"-67.44400024414062, 7.883319854736328",154,VE,Inglaterra,SFD
SVST,San Tomé Airport,"-64.151084899902, 8.9451465606689",861,VE,El Tigre,SOM
SVSZ,Santa Bárbara del Zulia Airport,"-71.94325256347656, 8.974550247192383",32,VE,,STB
SVTC,Tucupita Airport,"-62.094173431396484, 9.088994026184082",16,VE,Tucupita,TUV
SVTM,Tumeremo Airport,"-61.52893, 7.24938",345,VE,,TMO
SVVA,Arturo Michelena International Airport,"-67.92839813232422, 10.14973258972168",1411,VE,Valencia,VLN
SVVG,Juan Pablo Pérez Alfonso Airport,"-71.67266845703125, 8.624138832092285",250,VE,El Vigía,VIG
SVVL,Dr. Antonio Nicolás Briceño Airport,"-70.58406066894531, 9.34047794342041",2060,VE,Valera,VLV
SVVP,Valle de La Pascua Airport,"-65.9935836792, 9.22202777863",410,VE,,VDP
SWGN,Araguaína Airport,"-48.240501, -7.22787",771,BR,Araguaína,AUX
SYCJ,Cheddi Jagan International Airport,"-58.25410079956055, 6.498549938201904",95,GY,Georgetown,GEO
SYGO,Ogle Airport,"-58.105899810800004, 6.80628013611",10,GY,Ogle,OGL
SYLT,Lethem Airport,"-59.789398193359375, 3.372760057449341",351,GY,Lethem,LTM
TAPA,V.C. Bird International Airport,"-61.792702, 17.1367",62,AG,St. George,ANU
TBPB,Sir Grantley Adams International Airport,"-59.4925003052, 13.0746002197",169,BB,Bridgetown,BGI
TDCF,Canefield Airport,"-61.3922004699707, 15.336700439453125",13,DM,Canefield,DCF
TDPD,Melville Hall Airport,"-61.29999923706055, 15.54699993133545",73,DM,Marigot,DOM
TFFF,Martinique Aimé Césaire International Airport,"-61.00320053100586, 14.590999603271484",16,MQ,Fort-de-France,FDF
TFFG,L'Espérance Airport,"-63.047199249268, 18.099899291992",7,MF,Grand Case,SFG
TFFJ,Gustaf III Airport,"-62.84360122680664, 17.904399871826172",49,BL,Gustavia,SBH
TFFM,Les Bases Airport,"-61.27000045776367, 15.86870002746582",16,GP,Grand Bourg,GBJ
TFFR,Pointe-à-Pitre Le Raizet,"-61.531799, 16.265301",36,GP,Pointe-à-Pitre,PTP
TGPY,Point Salines International Airport,"-61.78620147705078, 12.004199981689453",41,GD,Saint George's,GND
TIST,Cyril E. King Airport,"-64.97339630126953, 18.337299346923828",23,VI,"Charlotte Amalie, Harry S. Truman Airport",STT
TISX,Henry E Rohlsen Airport,"-64.79859924316406, 17.701900482177734",74,VI,Christiansted,STX
TJ-UT45,Gissar Air Base,"68.67250061040001, 38.512298584",2379,TJ,Dushanbe,
TJ-UT46,Farkhor Air Base,"69.3807983398, 37.46979904169999",1450,TJ,Parkhar,
TJAB,Antonio Nery Juarbe Pol Airport,"-66.6753005981, 18.4500007629",23,PR,Arecibo,ARE
TJBQ,Rafael Hernandez Airport,"-67.12940216064453, 18.49489974975586",237,PR,Aguadilla,BQN
TJFA,Diego Jimenez Torres Airport,"-65.66190338134766, 18.308900833129883",64,PR,Fajardo,FAJ
TJIG,Fernando Luis Ribas Dominicci Airport,"-66.09809875488281, 18.45680046081543",10,PR,San Juan,SIG
TJMZ,Eugenio Maria De Hostos Airport,"-67.14849853515625, 18.255699157714844",28,PR,Mayaguez,MAZ
TJPS,Mercedita Airport,"-66.56300354003906, 18.00830078125",29,PR,Ponce,PSE
TJSJ,Luis Munoz Marin International Airport,"-66.0018005371, 18.4393997192",9,PR,San Juan,SJU
TKPK,Robert L. Bradshaw International Airport,"-62.71870040893555, 17.311199188232422",170,KN,Basseterre,SKB
TKPN,Vance W. Amory International Airport,"-62.589900970458984, 17.205699920654297",14,KN,Charlestown,NEV
TLPC,George F. L. Charles Airport,"-60.992901, 14.0202",22,LC,Castries,SLU
TLPL,Hewanorra International Airport,"-60.952599, 13.7332",14,LC,Vieux Fort,UVF
TM-UT52,Mary North Airport,"61.82699966430664, 37.66429901123047",728,TM,Mary,
TN-0002,Enfidha - Hammamet International Airport,"10.438611, 36.075833",21,TN,Enfidha,NBE
TNCA,Queen Beatrix International Airport,"-70.015198, 12.5014",60,AW,Oranjestad,AUA
TNCB,Flamingo International Airport,"-68.26850128173828, 12.130999565124512",20,BQ,Kralendijk,BON
TNCC,Hato International Airport,"-68.959801, 12.1889",29,CW,Willemstad,CUR
TNCE,F. D. Roosevelt Airport,"-62.979400634765625, 17.49650001525879",129,BQ,Sint Eustatius,EUX
TNCM,Princess Juliana International Airport,"-63.1088981628, 18.041000366200002",13,SX,Saint Martin,SXM
TNW,Jumandy Airport,"-77.5736, -1.0626",1234,EC,Tena,TNW
TQPF,Wallblake Airport,"-63.05509948730469, 18.20479965209961",127,AI,The Valley,AXA
TR-0004,Temelli Air Base,"32.378639221191406, 39.73885726928711",2457,TR,Polatlı,
TR-0021,Çukurhisar Airport,"30.968000411987305, 39.84389877319336",,TR,Alpu,
TR-0026,Iğdır Airport,"43.8766479492, 39.9766273499",3101,TR,Iğdır,IGD
TR-0028,Keşan Airport,"26.606300354, 40.7862014771",,TR,Keşan,
TRPG,John A. Osborne Airport,"-62.19329833984375, 16.791400909423828",550,MS,Gerald's Park,MNI
TTCP,Tobago-Crown Point Airport,"-60.83219909667969, 11.149700164794922",38,TT,Scarborough,TAB
TTPP,Piarco International Airport,"-61.33720016479492, 10.595399856567383",58,TT,Port of Spain,POS
TUPJ,Terrance B. Lettsome International Airport,"-64.54299926757812, 18.444799423217773",15,VG,Road Town,EIS
TVSA,Argyle International Airport,"-61.149945, 13.156695",136,VC,Kingstown,SVD
TVSB,J F Mitchell Airport,"-61.2620010376, 12.9884004593",15,VC,Bequia,BQU
TVSC,Canouan Airport,"-61.34239959716797, 12.699000358581543",11,VC,Canouan,CIW
TVSM,Mustique Airport,"-61.180198669433594, 12.887900352478027",8,VC,Mustique Island,MQS
TVSU,Union Island International Airport,"-61.41194534301758, 12.60013484954834",16,VC,Union Island,UNI
TW-0004,Zuoying Naval Airfield,"120.28099822998047, 22.704999923706055",,TW,Kaohsiung City,
TXKF,L.F. Wade International International Airport,"-64.67870330810547, 32.36399841308594",12,BM,Hamilton,BDA
UA-0005,Nizhyn Air Base,"31.8709945679, 51.0885353088",440,UA,Nizhyn,
UA-0010,Oktyabrskoe Air Base,"34.099998474121094, 45.31999969482422",,UA,Oktyabrskoe,
UA-0011,Karankut Air Base,"34.28200149536133, 45.577999114990234",52,UA,Volnoye,
UA-0012,Kirovskoe Air Base,"35.18299865722656, 45.16699981689453",,UA,Kirovskoe,
UA-0020,Melitopol Air Base,"35.305, 46.880001",,UA,Melitopol,
UA-0022,Kacha Air Base,"33.56999969482422, 44.779998779296875",403,UA,Sevastopol,
UA-0025,Bila Tserkva Airfield,"30.030000686645508, 49.79499816894531",,UA,Bila Tserkva,
UA-0028,Zhovtneve Air Base,"28.670000076293945, 45.63999938964844",,UA,Bolgrad,
UA-0029,Bolshoy Tokmak Air Base,"35.709999084472656, 47.28499984741211",,UA,Tokmak,
UA30,Batken Airport,"70.83784, 40.042899",3517,KG,Batken,
UAAA,Almaty Airport,"77.04049682617188, 43.35210037231445",2234,KZ,Almaty,ALA
UAAH,Balkhash Airport,"75.00499725341797, 46.8932991027832",1446,KZ,Balkhash,BXH
UACC,Astana International Airport,"71.46690368652344, 51.02220153808594",1165,KZ,Astana,TSE
UACK,Kokshetau Airport,"69.59459686279297, 53.3291015625",900,KZ,Kokshetau,KOV
UACP,Petropavlosk South Airport,"69.18389892578125, 54.77470016479492",453,KZ,Petropavlosk,PPK
UADD,Taraz Airport,"71.30359649658203, 42.853599548339844",2184,KZ,Taraz,DMB
UAFL,Issyk-Kul International Airport,"76.713046, 42.58792",5425,KG,Tamchy,IKU
UAFM,Manas International Airport,"74.4776000977, 43.0612983704",2058,KG,Bishkek,FRU
UAFO,Osh Airport,"72.793296814, 40.6090011597",2927,KG,Osh,OSS
UAFW,Kant Air Base,"74.84649658203125, 42.85319900512695",2549,KG,Kant,
UAII,Shymkent Airport,"69.47889709472656, 42.364200592041016",1385,KZ,Shymkent,CIT
UAKD,Zhezkazgan Airport,"67.733299, 47.708302",1250,KZ,Zhezkazgan,DZN
UAKK,Sary-Arka Airport,"73.33439636230469, 49.670799255371094",1765,KZ,Karaganda,KGF
UAON,Yubileyniy Airfield,"63.25, 46.05500030517578",328,KZ,Baikonur,
UARR,Uralsk Airport,"51.54309844970703, 51.15079879760742",125,KZ,Uralsk,URA
UASA,Ayaguz Airport,"80.45279693603516, 47.91859817504883",2119,KZ,Ayaguz,
UASB,Ekibastuz Airport,"75.21499633789062, 51.590999603271484",621,KZ,Ekibastuz,EKB
UASK,Ust-Kamennogorsk Airport,"82.49420166015625, 50.036598205566406",939,KZ,Ust Kamenogorsk,UKK
UASP,Pavlodar Airport,"77.07389831542969, 52.19499969482422",410,KZ,Pavlodar,PWQ
UASS,Semipalatinsk Airport,"80.234398, 50.351295",761,KZ,Semey,PLX
UATE,Aktau Airport,"51.09199905395508, 43.86009979248047",73,KZ,Aktau,SCO
UATG,Atyrau Airport,"51.8213996887207, 47.12189865112305",-72,KZ,Atyrau,GUW
UATR,Chelkar Airport,"59.619998931884766, 47.904998779296875",,KZ,Chelkar,
UATT,Aktobe Airport,"57.20669937133789, 50.24580001831055",738,KZ,Aktyuinsk,AKX
UAUU,Kostanay West Airport,"63.55030059814453, 53.20690155029297",595,KZ,Kostanay,KSN
UB12,Nasosnaya Air Base,"49.55739974975586, 40.59159851074219",-13,AZ,Nasosnaya,
UB13,Stepanakert Air Base,"46.7869987487793, 39.90140151977539",2001,AZ,Stepanakert,
UB14,Kyurdamir Air Base,"48.16360092163086, 40.27360153198242",-35,AZ,Kyurdamir,
UB18,Baku Kala Air Base,"50.200199127197266, 40.40660095214844",40,AZ,Baku,
UBBB,Heydar Aliyev International Airport,"50.04669952392578, 40.467498779296875",10,AZ,Baku,GYD
UBBG,Ganja Airport,"46.31760025024414, 40.737701416015625",1083,AZ,Ganja,KVD
UBBN,Nakhchivan Airport,"45.45840072631836, 39.18880081176758",2863,AZ,Nakhchivan,NAJ
UBBQ,Gabala International Airport,"47.7125, 40.826667",935,AZ,Gabala,GBB
UDSG,Gyumri Shirak Airport,"43.859298706100006, 40.7504005432",5000,AM,Gyumri,LWN
UDYE,Erebuni Airport,"44.465000152600005, 40.122100830099996",2948,AM,Yerevan,
UDYZ,Zvartnots International Airport,"44.3959007263, 40.1473007202",2838,AM,Yerevan,EVN
UEEE,Yakutsk Airport,"129.77099609375, 62.093299865722656",325,RU,Yakutsk,YKS
UELL,Chulman Airport,"124.91400146484, 56.913898468018",2812,RU,Neryungri,NER
UEMA,Moma Airport,"143.2615509033203, 66.45085906982422",656,RU,Honuu,
UEMM,Magan Airport,"129.545288, 62.103484",577,RU,Magan,GYG
UEMO,Olyokminsk Airport,"120.471000671, 60.3974990845",656,RU,Olyokminsk,
UEMT,Ust-Nera Airport,"143.11500549316, 64.550003051758",1805,RU,Ust-Nera,USR
UENK,Kyzyl-Syr Airport,"122.7770004272461, 63.8849983215332",331,RU,Kyzyl-Syr,
UENW,Vilyuisk Airport,"121.69333648682, 63.75666809082",361,RU,Vilyuisk,VYI
UERA,Aykhal Airport,"111.54650115967, 65.959197998047",,RU,,
UERL,Lensk Airport,"114.825996399, 60.7206001282",801,RU,Lensk,ULK
UERP,Polyarny Airport,"112.029998779, 66.4003982544",1660,RU,Yakutia,PYJ
UERR,Mirny Airport,"114.03900146484375, 62.534698486328125",1156,RU,Mirny,MJZ
UERS,Saskylakh Airport,"114.08000183105, 71.92790222168",,RU,Saskylakh,SYS
